날짜,first,last,min,max,수익률,평균종가,변동성
2000-12-31,1455.2,1320.3,1264.7,1527.5,-0.09270203408466193,1427.2218253968256,0.22242865494010716
2001-12-31,1283.3,1148.1,965.8,1373.7,-0.10535338580222864,1194.1782258064516,0.21553146368220022
2002-12-31,1154.7,879.8,776.8,1172.5,-0.23807049450073614,993.9373015873016,0.2603264953872653
2003-12-31,909.0,1111.9,800.7,1111.9,0.2232123212321233,965.2257936507937,0.17065902136388295
2004-12-31,1108.5,1211.9,1063.2,1213.5,0.09327920613441587,1130.6476190476192,0.1109522171392779
2005-12-31,1202.1,1248.3,1137.5,1272.7,0.038432742700274636,1207.2289682539683,0.10289987196858767
2006-12-31,1268.8,1418.3,1223.7,1427.1,0.117827868852459,1310.461752988048,0.10037559846219968
2007-12-31,1416.6,1468.4,1374.1,1565.2,0.03656642665537224,1477.1860557768925,0.15982901249047474
2008-12-31,1447.2,903.2,752.4,1447.2,-0.3758982863460475,1220.0387351778656,0.4097349513525866
2009-12-31,931.8,1115.1,676.5,1127.8,0.19671603348358002,948.0432539682539,0.2728781640838574
2010-12-31,1133.0,1257.6,1022.6,1259.8,0.10997352162400698,1139.9670634920635,0.18053035913014315
2011-12-31,1271.9,1257.6,1099.2,1363.6,-0.011243022250177037,1267.638888888889,0.23271113737037724
2012-12-31,1277.1,1426.2,1277.1,1465.8,0.1167488841907447,1379.3552,0.12770128894515945
2013-12-31,1462.4,1848.4,1457.2,1848.4,0.2639496717724288,1643.801984126984,0.11068013905886327
2014-12-31,1832.0,2058.9,1741.9,2090.6,0.12385371179039306,1931.3757936507936,0.11373176589132329
2015-12-31,2058.2,2043.9,1867.6,2130.8,-0.006947818482168744,2061.065476190476,0.15494967265123974
2016-12-31,2012.7,2238.8,1829.1,2271.7,0.11233666219506144,2094.6507936507937,0.13094794433302182
2017-12-31,2257.8,2673.6,2257.8,2690.2,0.18416157321286186,2449.072908366534,0.06688800167483501
2018-12-31,2695.8,2506.8,2351.1,2930.8,-0.07010905853549965,2746.2127490039843,0.17050703712251955
2019-12-31,2510.0,3096.6,2447.9,3096.6,0.23370517928286838,2878.741628959276,0.13042439846148998
